Geneid	control1	control2	control3	control4	necrosis1	necrosis2	necrosis3	necrosis4
FGSG_11579	0	0	0	0	0	0	0	0
FGSG_11580	17	17	1	1	9	9	0	0
FGSG_11581	17	17	5	3	0	0	3	3
FGSG_11582	11	11	0	0	3	2	0	0
FGSG_14022	10	7	2	3	0	0	0	0
FGSG_14023	39	42	9	9	0	0	0	0
FGSG_11584	0	0	0	0	0	0	0	0
FGSG_11585	38	38	3	2	11	11	5	5
FGSG_11606	0	0	0	0	0	0	0	0
FGSG_14029	0	0	0	0	0	0	0	0
FGSG_14030	0	0	0	0	0	0	0	0
FGSG_11641	0	0	0	0	0	0	0	0
FGSG_11605	0	0	0	0	0	0	0	0
FGSG_11642	6	5	1	1	0	0	0	0
FGSG_11643	0	0	0	0	0	0	0	0
FGSG_11600	2	0	3	3	0	0	0	0
FGSG_11601	0	0	0	0	0	0	0	0
FGSG_00001	0	0	0	0	0	0	0	0
FGSG_00002	2	2	5	5	0	0	1	1
FGSG_11644	0	0	0	0	0	0	0	0
FGSG_00003	0	0	0	0	0	0	1	1
FGSG_00004	0	0	3	3	0	0	0	0
FGSG_00005	0	0	4	4	0	0	0	0
FGSG_00006	0	0	0	0	0	0	0	0
FGSG_00007	0	0	0	1	0	0	0	0
FGSG_11645	5	6	6	6	0	0	0	0
FGSG_11646	0	0	0	0	0	0	0	0
FGSG_11647	0	0	0	0	0	0	0	0
FGSG_00009	175	176	309	307	2	2	5	5
FGSG_00010	1	1	2	2	0	0	0	0
FGSG_00011	41	44	10	9	0	0	2	2
FGSG_00012	9	9	4	4	0	0	1	1
FGSG_00013	0	0	0	0	1	1	0	0
FGSG_11648	0	0	0	0	0	0	0	0
FGSG_11649	0	0	0	0	0	0	0	0
FGSG_00014	0	0	0	0	0	0	0	0
FGSG_00015	0	0	1	1	0	0	0	0
FGSG_11650	0	0	0	0	0	0	0	0
FGSG_00016	6	6	1	1	1	1	2	2
FGSG_00017	703	706	68	68	42	42	36	40
FGSG_00018	763	760	38	37	80	79	17	16
FGSG_00019	0	0	0	0	2	2	8	8
FGSG_00020	1	1	0	0	0	0	1	1
FGSG_00021	1	1	0	0	1	1	1	1
FGSG_11651	0	0	0	0	0	0	0	0
FGSG_11652	0	0	0	0	0	0	0	0
FGSG_00023	1	1	0	0	0	0	0	0
FGSG_00024	63	63	1	0	0	0	4	3
FGSG_00025	50	49	6	4	0	0	0	0
FGSG_00026	2	2	0	1	2	2	3	4
FGSG_00027	0	0	0	0	0	0	1	0
FGSG_00028	11	11	0	0	0	0	0	0
FGSG_00029	0	0	2	2	0	0	0	0
FGSG_00030	1	1	0	0	0	0	0	0
FGSG_00031	0	0	1	1	0	0	0	0
FGSG_00032	0	0	0	0	0	0	0	0
FGSG_00033	4	4	0	0	0	0	1	1
FGSG_00034	0	0	0	0	0	0	0	0
FGSG_11653	5	5	1	1	0	0	0	0
FGSG_11654	1	1	0	0	0	0	0	0
